staffId,firstName,lastName,addressId,storeId,email,active,username,password,lastUpdate
144,James,Kent,176,7,James.Kent@sakila.com,0,James.Kent,&NMOBm*7&8,2006-02-15 04:57:16.000
145,Jamie,Lowe,12,7,Jamie.Lowe@sakila.com,1,Jamie.Lowe,vDB0Sh+a^w,2006-02-15 04:57:16.000
146,David,Garner,227,7,David.Garner@sakila.com,1,David.Garner,b*6e1IFzUQ,2006-02-15 04:57:16.000
147,Hannah,Mcconnell,21,7,Hannah.Mcconnell@sakila.com,1,Hannah.Mcconnell,+9INCbsK&F,2006-02-15 04:57:16.000
148,David,Pineda,248,7,David.Pineda@sakila.com,1,David.Pineda,!y(0)EXy^y,2006-02-15 04:57:16.000
149,Michelle,Silva,65,7,Michelle.Silva@sakila.com,1,Michelle.Silva,w@5SGsdSSR,2006-02-15 04:57:16.000
150,Caroline,Clarke,40,7,Caroline.Clarke@sakila.com,1,Caroline.Clarke,0UNmy^^f*l,2006-02-15 04:57:16.000
151,Theresa,Barrera,227,7,Theresa.Barrera@sakila.com,0,Theresa.Barrera,)+p5cS+m*#,2006-02-15 04:57:16.000
152,Karen,Rodriguez,35,7,Karen.Rodriguez@sakila.com,1,Karen.Rodriguez,uLMG9@8ie!,2006-02-15 04:57:16.000
153,Micheal,Johnson,30,7,Micheal.Johnson@sakila.com,1,Micheal.Johnson,5+3PvXczjz,2006-02-15 04:57:16.000
154,Lisa,Clark,59,7,Lisa.Clark@sakila.com,1,Lisa.Clark,y&d9k3Qhb1,2006-02-15 04:57:16.000
155,Christopher,Nelson,8,7,Christopher.Nelson@sakila.com,1,Christopher.Nelson,qT7ceEgc(_,2006-02-15 04:57:16.000
156,Jessica,Harris,33,7,Jessica.Harris@sakila.com,1,Jessica.Harris,kr2F_s_We&,2006-02-15 04:57:16.000
157,James,Thomas,251,7,James.Thomas@sakila.com,0,James.Thomas,l7b&O8b6+D,2006-02-15 04:57:16.000
158,Holly,Carter,206,7,Holly.Carter@sakila.com,0,Holly.Carter,#8qP9YEjKw,2006-02-15 04:57:16.000
159,Lisa,Pacheco,169,7,Lisa.Pacheco@sakila.com,1,Lisa.Pacheco,_*6NVeW8k3,2006-02-15 04:57:16.000
160,John,Gonzalez,81,7,John.Gonzalez@sakila.com,1,John.Gonzalez,rCmU*Zu&#2,2006-02-15 04:57:16.000
161,Amy,Blair,67,7,Amy.Blair@sakila.com,1,Amy.Blair,4gP4aBSz7(,2006-02-15 04:57:16.000
162,Valerie,Thompson,109,7,Valerie.Thompson@sakila.com,1,Valerie.Thompson,Xx0ICj$KO!,2006-02-15 04:57:16.000
163,Laura,Miller,127,7,Laura.Miller@sakila.com,1,Laura.Miller,j)cQ@#9jDH,2006-02-15 04:57:16.000
164,Adam,Mcintosh,20,7,Adam.Mcintosh@sakila.com,0,Adam.Mcintosh,!%gyvHPy41,2006-02-15 04:57:16.000
165,Jared,Gomez,190,7,Jared.Gomez@sakila.com,0,Jared.Gomez,+XM$%4Au$N,2006-02-15 04:57:16.000
166,Rebecca,Holt,123,7,Rebecca.Holt@sakila.com,0,Rebecca.Holt,auFiyfIo@3,2006-02-15 04:57:16.000
167,Jack,Stokes,64,7,Jack.Stokes@sakila.com,1,Jack.Stokes,(dLwX%DP8Q,2006-02-15 04:57:16.000
168,Susan,Richards,160,7,Susan.Richards@sakila.com,0,Susan.Richards,7J^9IUvM5x,2006-02-15 04:57:16.000
169,Steven,Wall,216,7,Steven.Wall@sakila.com,0,Steven.Wall,rQv@+4Up+#,2006-02-15 04:57:16.000
170,Carl,Hill,243,7,Carl.Hill@sakila.com,1,Carl.Hill,w_7$3IB1zf,2006-02-15 04:57:16.000
171,Michelle,Greene,108,7,Michelle.Greene@sakila.com,0,Michelle.Greene,(FtxSpLwm0,2006-02-15 04:57:16.000
172,Mary,Francis,25,7,Mary.Francis@sakila.com,1,Mary.Francis,01roFJEH_i,2006-02-15 04:57:16.000
173,Kyle,White,235,7,Kyle.White@sakila.com,1,Kyle.White,b_6n)Uyz#W,2006-02-15 04:57:16.000
174,Nancy,Gill,134,7,Nancy.Gill@sakila.com,0,Nancy.Gill,N7B*UZQe_f,2006-02-15 04:57:16.000
175,Adrian,Cruz,25,7,Adrian.Cruz@sakila.com,1,Adrian.Cruz,&93VSNk%ei,2006-02-15 04:57:16.000
176,Kyle,Hubbard,37,7,Kyle.Hubbard@sakila.com,1,Kyle.Hubbard,gR&6URco(U,2006-02-15 04:57:16.000
177,Chloe,Montgomery,239,7,Chloe.Montgomery@sakila.com,1,Chloe.Montgomery,i+T58#o!3Z,2006-02-15 04:57:16.000
178,Michael,Galloway,150,7,Michael.Galloway@sakila.com,1,Michael.Galloway,F9EdnoEh)!,2006-02-15 04:57:16.000
179,Terry,Dixon,46,7,Terry.Dixon@sakila.com,0,Terry.Dixon,)OcCn5o05p,2006-02-15 04:57:16.000
180,Kayla,Williams,117,7,Kayla.Williams@sakila.com,1,Kayla.Williams,ZC4Xq*q1@z,2006-02-15 04:57:16.000
181,Aaron,Sloan,239,7,Aaron.Sloan@sakila.com,1,Aaron.Sloan,yIu03KQjx*,2006-02-15 04:57:16.000
182,Gregory,Norton,35,7,Gregory.Norton@sakila.com,1,Gregory.Norton,M%IW!2Qz9J,2006-02-15 04:57:16.000
183,Ann,Wilson,178,7,Ann.Wilson@sakila.com,1,Ann.Wilson,_d9dGq1mTE,2006-02-15 04:57:16.000
184,Anthony,Cooper,221,7,Anthony.Cooper@sakila.com,1,Anthony.Cooper,Yac6RMfw$F,2006-02-15 04:57:16.000
185,Willie,Sanchez,237,7,Willie.Sanchez@sakila.com,0,Willie.Sanchez,)1_7Jdnpm(,2006-02-15 04:57:16.000
186,Emily,Bishop,58,7,Emily.Bishop@sakila.com,1,Emily.Bishop,66bG*jNz%c,2006-02-15 04:57:16.000
